,description_short,adress,zip_code,price_cold,price_warm,rooms,area,yearbuild,url
126,"Schöne Wohnung in Reinickendorf, Nachmieter gesucht! Übernahme EBK möglich!",Neptunstr. 25  13409 Berlin,13409,912.49,1109.49,2.0,54.9,2016,https://www.immonet.de/angebot/41559062
127,"""Wohnen auf 2 Etagen"": Lichtdurchflutetes Penthouse mit extravaganten Grundriss, in ruhiger Wohnlage ***große Terrass",12249 Berlin,12249,1869.9,2444.9,5.0,230.0,1930,https://www.immonet.de/angebot/40606312
128,Schöner Wohnen in dieser familienfreundlichen 4-Zi-Wohnung,Ernst-Thälmann-Platz 13a  14641 Wustermark,14641,1335.71,1569.78,4.0,113.1,2019,https://www.immonet.de/angebot/41558710
129,Erstbezug - Moderne 3-Zimmerwohnung mit Balkon und EBK nahe Alexanderplatz!,Pauline-Staegemann-Str. 2  10249 Berlin,10249,1430.0,1690.0,3.0,76.27,2020,https://www.immonet.de/angebot/41600871
130,günstige 2-Zimmer-Wohnung im Herzen Tegels,Ziekowstraße 105  13509 Berlin,13509,364.76,516.76,2.0,51.96,1954,https://www.immonet.de/angebot/41660640
131,"Erstbezug - 2OG hochwertige 3-Zimmer-Wohnung ""Am Schlosspark""",Heubnerweg 9a  14059 Berlin,14059,1738.0,1985.0,3.0,89.86,2020,https://www.immonet.de/angebot/41531186
132,"ERSTBEZUG  NEUBAU im Parkviertel Kladow,  2 Zimmer 55m², 2 OG, Fahrstuhl, EBK,",14089 Berlin,14089,935.0,1095.0,2.0,55.0,2020,https://www.immonet.de/angebot/40976362
133,WBS mit besonderem Wohnbedarf - 3-Zimmer-Wohnung mit Garten sucht Nachmieter,Dora-Mendler-Str. 2b  12355 Berlin,12355,522.17,NaN,3.0,82.66,1985,https://www.immonet.de/angebot/41666994
134,ruhige Wohnung mit Blick ins Grüne,Neubauernstr. 2  15745 Wildau,15745,936.99,1172.17,2.0,74.07,2020,https://www.immonet.de/angebot/40380224
135,Schöne 3-Zimmer-Wohnung in familienfreundlichem Umfeld,Am Lückefeld 29  15831 Mahlow,15831,722.13,NaN,3.0,57.77,2020,https://www.immonet.de/angebot/40604938
136,Erstbezug: Familienwohnung mit Spreeblick!,Hilda-Geiringer-Weg 6  10557 Berlin,10557,2920.0,3315.0,4.0,132.0,2019,https://www.immonet.de/angebot/36915566
137,neues Wohnen in NAUEN - 2 Raum Erdgeschoss mit Garten,Bauernfeldallee 6  14641 Nauen,14641,599.0,782.0,2.0,65.31,2019,https://www.immonet.de/angebot/39547081
138,Im Herzen von Berlin - Wohnen im Fritz Tower,Lehrter Straße 24b  10557 Berlin,10557,1440.0,NaN,2.0,47.0,2020,https://www.immonet.de/angebot/40602772
139,Erstbezug im Königstadt-Quartier - Exquisite 3-Zimmerwohnung in Friedrichshain,Pauline-Staegemann-Str. 2  10249 Berlin,10249,1360.0,1590.0,3.0,64.81,2020,https://www.immonet.de/angebot/41599487
