,Price,Size(m²),Price_per_m²
635,1249.0,33.21,37.61
636,998.16,83.18,12.0
637,1250.0,56.61,22.08
638,4416.4,110.41,40.0
639,1648.43,95.34,17.29
640,1165.0,65.6,17.76
641,700.0,53.23,13.15
642,1000.0,100.0,10.0
643,999.0,90.94,10.99
644,1899.0,130.78,14.52
645,1692.92,98.77,17.14
646,1114.0,85.22,13.07
647,904.5,67.0,13.5
648,5540.64,131.92,42.0
649,1739.09,96.67,17.99
650,1048.53,96.55,10.86
651,1998.98,121.15,16.5
652,764.64,53.0,14.43
653,1110.1,65.3,17.0
654,799.0,82.15,9.73
655,899.0,76.15,11.81
656,1073.77,85.69,12.53
657,1149.0,93.48,12.29
658,1637.91,98.02,16.71
659,1250.0,61.0,20.49
660,599.0,65.31,9.17
661,739.44,72.0,10.27
662,2495.0,166.34,15.0
663,795.0,30.0,26.5
664,1350.0,110.73,12.19
665,585.0,65.0,9.0
666,1534.0,77.66,19.75
667,670.0,30.0,22.33
668,690.0,41.0,16.83
669,910.0,68.33,13.32
670,1227.0,62.77,19.55
671,3199.0,156.1,20.49
672,650.0,40.0,16.25
673,265.0,11.0,24.09
674,700.76,56.65,12.37
675,480.0,23.5,20.43
676,703.23,56.85,12.37
677,888.44,63.46,14.0
678,695.81,56.25,12.37
679,1394.1,92.94,15.0
680,699.0,49.0,14.27
681,1481.77,106.22,13.95
682,310.0,44.0,7.05
683,1790.0,113.0,15.84
684,530.0,57.71,9.18
685,500.0,24.95,20.04
686,1115.0,104.01,10.72
687,350.0,29.19,11.99
688,934.5,89.0,10.5
689,2730.0,120.06,22.74
690,440.0,72.81,6.04
691,850.0,35.0,24.29
692,749.0,74.15,10.1
693,1440.0,47.0,30.64
694,454.0,66.32,6.85
695,946.12,67.58,14.0
696,1200.0,99.29,12.09
697,1850.0,107.0,17.29
698,761.46,74.0,10.29
699,254.19,36.27,7.01
700,510.0,68.12,7.49
701,789.02,73.87,10.68
702,1178.0,68.71,17.14
703,815.0,84.0,9.7
704,400.0,45.0,8.89
705,852.23,27.55,30.93
706,1420.0,84.4,16.82
707,1120.0,56.0,20.0
708,1169.14,82.045,14.25
709,2635.54,241.0,10.94
710,315.3,49.98,6.31
711,3500.0,158.0,22.15
712,1059.0,81.5,12.99
713,407.0,57.0,7.14
714,464.0,58.0,8.0
715,1425.0,80.72,17.65
716,1850.0,91.0,20.33
717,1944.38,127.5,15.25
718,489.42,58.51,8.36
719,366.5,20.5,17.88
720,1440.0,104.52,13.78
721,750.0,88.63,8.46
722,680.0,37.11,18.32
723,330.0,30.0,11.0
724,1170.0,88.61,13.2
725,757.32,81.58,9.28
726,2720.0,136.15,19.98
727,470.0,81.0,5.8
728,750.0,1376.0,0.55
729,1300.0,70.0,18.57
730,1584.0,126.7,12.5
