base_rent,qm,rent_per_qm,rent_per_qm,data_set
1190.00,108.05,13597,11.01,immoscout
1073.00,32.00,10557,33.53,immoscout
1348.00,60.00,10557,22.47,immoscout
1348.00,60.00,10557,22.47,immoscout
730.00,42.00,10629,17.38,immoscout
1458.90,78.00,10623,18.70,immoscout
1697.00,83.00,10557,20.45,immoscout
1650.00,110.00,14057,15.00,immoscout
2200.00,160.00,13507,13.75,immoscout
1697.00,83.00,10557,20.45,immoscout
1073.00,32.00,10557,33.53,immoscout
947.00,30.00,10557,31.57,immoscout
1348.00,60.00,10557,22.47,immoscout
1697.00,83.00,10557,20.45,immoscout
1084.45,94.00,12555,11.54,immoscout
750.00,40.00,10247,18.75,immoscout
1550.00,82.00,10557,18.90,immoscout
1230.00,58.00,10557,21.21,immoscout
1080.00,55.00,10247,19.64,immoscout
1245.00,60.00,10557,20.75,immoscout
515.36,63.39,12587,8.13,immoscout
1547.00,67.00,10179,23.09,immoscout
1498.00,82.00,10557,18.27,immoscout
595.20,49.60,14199,12.00,immoscout
760.00,29.12,12555,26.10,immoscout
3099.00,159.22,14193,19.46,immoscout
682.99,74.40,13125,9.18,immoscout
1300.00,100.00,12555,13.00,immoscout
