base_rent,qm,plz,street,rent_per_qm,data_set
1232,88,12459,An der Wuhlheide,14.00,immoscout
1498,89,10439,no_information,16.83,immoscout
2350,144,14193,no_information,16.32,immoscout
1057,68.22,12051,Mariendorfer Weg,15.49,immoscout
800,16,10785,Joseph-von-Eichendorff-Gasse,50.00,immoscout
370,51,13583,Falkenseer Chaussee,7.25,immoscout
993,66.21,12051,Mariendorfer Weg,15.00,immoscout
1280,100,14165,no_information,12.80,immoscout
520,60.93,12557,Sch&ouml;nerlinder Stra&szlig;e,8.53,immoscout
1697,83,10557,no_information,20.45,immoscout
1358,58,10557,no_information,23.41,immoscout
800,65,12555,no_information,12.31,immoscout
1047,80,14167,Lutterbacherstra&szlig;e,13.09,immoscout
365.82,33.5,13585,Lynarstra&szlig;e,10.92,immoscout
327.69,30,13585,Lynarstra&szlig;e,10.92,immoscout
669,64.67,13467,Kneippstra&szlig;e,10.34,immoscout
894.37,60.64,10315,Rosenfelder Ring,14.75,immoscout
1650,105,10318,no_information,15.71,immoscout
660,42,12047,no_information,15.71,immoscout
650,18.6,13357,J&uuml;licher Stra&szlig;e,34.95,immoscout
1525,111,12527,Alt-Schm&ouml;ckwitz,13.74,immoscout
1650,55,10963,Gabriele-Tergit-Promenade,30.00,immoscout
960,59,10115,Linienstra&szlig;e,16.27,immoscout
900,82,12207,Jungfernstieg,10.98,immoscout
2118.29,108.63,10585,Zillestr.,19.50,immoscout
1731,94,10965,no_information,18.41,immoscout
1450,47,10963,Gabriele-Tergit-Promenade,30.85,immoscout
999,48,10115,Schwartzkopffstra&szlig;e,20.81,immoscout
1649.7,103.3,13347,Reinickendorfer Str.,15.97,immoscout
1950,73,10963,Gabriele-Tergit-Promenade,26.71,immoscout
1020,65,12159,Stierstr.,15.69,immoscout
1050,60,10557,Paulstra&szlig;e,17.50,immoscout
950,76.5,10779,Aschaffenburger Str,12.42,immoscout
934,50,10969,Lindenstra&szlig;e,18.68,immoscout
2400,145,10439,Wisbyer Stra&szlig;e,16.55,immoscout
502.05,32.39,10315,L&ouml;wenberger Stra&szlig;e,15.50,immoscout
1484,106,12555,Parrisiusstr.,14.00,immoscout
1695,133,14167,Billy-Wilder-Promenade,12.74,immoscout
1450,98,10559,L&uuml;becker Str.,14.80,immoscout
960,50,10179,Wallstra&szlig;e,19.20,immoscout
730,73,12309,no_information,10.00,immoscout
820,42.5,10179,Wallstra&szlig;e,19.29,immoscout
950,41,10243,Pillauer Stra&szlig;e,23.17,immoscout
2750,140,10623,Bleibtreustra&szlig;e,19.64,immoscout
2130.48,96.84,10439,no_information,22.00,immoscout
1370,82,10179,Alte Jakobstr.,16.71,immoscout
